Row	Date
282	1985-01-31
283	1919-06-01
284	1987-09-22
285	1981-11-02
286	2010-01-01
287	1919-01-18
288	1978-09-08
289	1920-11-20
290	2014-01-01
291	1986-01-17
292	2013-01-01
293	1919-12-13
294	1992-05-19
295	1980-11-27
296	2003-01-01
297	1971-05-17
298	1987-01-01
299	1995-03-14
300	1981-01-01
301	1997-10-11
302	1920-01-31
303	1998-01-01
304	1995-01-01
305	1919-07-01
306	1920-06-10
307	1920-12-01
308	1920-12-01
309	1973-12-01
310	1995-03-16
311	1919-04-01
312	1992-04-05
313	1990-07-08
314	1920-06-20
315	1978-01-01
316	1991-01-01
317	1980-12-16
318	1919-01-22
319	1992-07-17
320	1994-11-03
321	1971-11-27
322	1995-08-02
323	1919-03-05
324	1920-12-05
325	1919-05-24
326	1972-04-19
327	1990-01-01
328	1994-09-13
329	1971-06-10
330	1982-09-30
331	1919-08-13
332	1991-08-31
333	1973-04-22
334	1977-10-03
335	1989-08-13
336	2011-01-01
337	1979-02-18
338	1998-11-09
339	1972-09-17
340	1919-02-10
341	1981-05-10
342	2004-01-01
343	2007-01-01
344	1997-12-08
345	1993-03-25
346	1987-10-28
347	1981-07-24
348	1920-05-18
349	1919-12-01
350	1998-01-01
351	1919-07-01
352	1975-06-21
353	1979-09-27
354	2009-01-01
355	1986-03-21
356	1979-09-04
357	1920-05-01
358	1997-02-14
359	1972-07-27
360	1920-06-07
361	2005-01-01
362	1992-10-12
363	1978-03-27
364	1919-10-21
365	1995-03-27
366	1994-04-03
367	1919-10-13
368	1984-09-20
369	1979-01-01
370	1988-04-15
371	1981-04-13
372	1993-02-13
373	1973-11-26
374	1980-06-28
375	1991-11-23
376	1985-11-17
377	1919-01-29
378	1988-02-08
379	1919-01-01
380	2007-01-01
381	2006-01-01
382	1991-09-22
383	1979-09-21
384	1997-02-21
385	1988-04-12
386	1990-09-17
387	1919-03-01
388	1919-07-25
389	1920-08-01
390	1978-07-01
391	1919-09-01
392	1992-08-16
393	1920-01-28
394	1995-01-01
395	1982-09-13
396	1994-03-25
397	1981-01-14
398	1985-09-04
399	1997-10-05
400	1981-02-12
401	2008-01-01
402	1919-09-19
403	1993-04-17
404	1977-01-12
405	2012-01-01
406	1973-01-01
407	1979-01-29
408	1984-08-14
409	1975-01-01
410	1994-08-14
411	2007-01-01
412	1998-01-01
413	1988-03-18
414	1919-12-29
415	1986-09-15
416	1981-01-01
417	1919-12-12
418	1990-08-06
419	1982-10-11
420	1919-07-21
421	1973-01-01
422	2011-01-01
423	1919-07-10
424	1989-04-24
425	1983-07-15
426	1996-01-01
427	1990-03-22
428	1994-01-07
429	1981-04-16
430	1990-09-03
431	1997-01-01
432	1977-05-21
433	1919-06-21
434	1975-10-28
435	1920-10-16
436	2007-01-01
437	1919-12-01
438	2015-01-01
439	1974-06-23
440	1919-02-05
441	2007-01-01
442	1996-07-27
443	1993-03-22
444	2000-01-01
445	1982-01-01
446	1993-06-05
447	1919-04-30
448	1987-01-01
449	2015-01-01
450	1919-07-02
451	1920-12-06
452	1919-02-05
453	1993-04-23
454	1993-09-14
455	1995-10-18
456	1919-10-14
457	1995-03-15
458	1981-02-28
459	1974-01-01
460	1971-07-11
461	1991-01-01
462	1919-03-09
463	1996-07-31
464	1977-08-31
471	1992-10-25
472	1919-07-01
473	1997-12-12
474	1994-03-01
475	1919-07-17
476	1995-11-21
477	1991-11-17
478	1986-07-25
479	1989-08-13
480	1919-09-01
481	1973-10-23
482	1984-01-01
483	1980-01-05
484	1986-01-01
485	1919-06-02
486	1978-08-24
487	1971-04-25
488	1992-08-30
489	1920-07-29
490	1989-05-21
491	1920-01-01
492	1998-01-27
493	2006-01-01
494	1986-08-18
495	1993-12-06
496	1920-09-01
497	1919-08-01
498	1977-02-14
499	1919-04-01
500	1982-04-25
